Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureCategory,PerformanceBoost,StabilityScore,EngagementScore
36,0,2,1,5,4,1,2,0,2,1,6,1,1,3419,8.5,1,14,3,4,1,6.0,3.0,4,1,1.0,0.0,0.0,2,42,1.0,2.75
33,0,1,2,1,3,1,3,0,4,2,7,1,1,5376,2.0,0,19,3,1,2,10.0,3.0,3,5,3.0,1.0,3.0,1,57,1.2,2.0
35,0,2,1,4,2,4,3,1,3,1,2,4,0,1951,1.0,0,12,3,3,1,1.0,3.0,3,1,0.0,0.0,0.0,2,36,0.0,3.25
27,0,2,1,2,4,1,4,0,3,1,2,1,0,2341,1.0,0,13,3,4,1,1.0,4.5,3,1,0.0,0.0,0.0,2,39,0.0,3.0
26,1,2,1,25,3,1,1,1,1,1,2,3,2,2293,1.0,0,12,3,3,0,1.0,2.0,2,1,0.0,0.0,1.0,2,36,1.0,2.25
27,0,1,2,8,3,1,4,1,3,3,7,3,2,8726,1.0,0,15,3,4,0,9.0,0.5,3,9,8.0,1.0,7.0,0,45,1.6666666666666667,3.5
30,0,1,1,1,2,3,3,0,3,2,2,4,2,4011,1.0,0,23,4,4,0,12.0,2.0,3,12,8.0,3.0,7.0,3,92,1.25,3.5
41,1,2,1,12,3,5,2,0,3,5,5,3,1,16581,1.0,0,12,3,4,0,23.0,0.5,3,18,14.5,7.5,8.0,3,36,1.25,3.0
34,0,0,2,23,4,2,2,1,3,2,7,3,2,4568,0.0,0,20,4,3,0,10.0,2.0,3,9,5.0,7.5,7.0,0,80,1.3333333333333333,2.75
37,0,2,1,19,2,1,2,1,3,1,6,2,1,3022,4.0,0,21,4,1,0,8.0,1.0,3,1,0.0,0.0,0.0,2,84,0.0,2.0
46,0,1,2,5,4,2,1,1,3,2,7,4,2,5772,4.0,1,21,4,3,0,14.0,4.0,3,9,6.0,0.0,8.0,0,84,1.5555555555555556,2.75
35,0,2,1,8,1,1,4,1,4,1,2,4,1,2269,1.0,0,19,3,4,0,1.0,2.0,3,1,0.0,0.0,1.0,2,57,1.0,3.75
48,1,2,1,1,2,1,1,1,2,3,2,3,2,5381,8.5,1,13,3,4,0,23.0,2.0,3,1,0.0,0.0,0.0,2,39,0.0,2.75
28,1,2,1,5,4,5,3,1,3,1,2,3,2,3441,1.0,1,13,3,3,0,2.0,3.0,2,2,2.0,2.0,2.0,2,39,2.0,2.75
44,0,2,2,1,5,2,2,0,3,2,7,1,0,5454,5.0,1,21,4,3,1,9.0,2.0,2,4,3.0,1.0,3.0,1,84,1.5,2.0
35,0,0,1,11,2,3,3,1,2,3,0,1,1,9884,2.0,1,13,3,3,1,10.0,3.0,3,4,0.0,2.0,3.0,1,39,0.75,2.5
26,0,2,2,23,3,2,3,0,2,2,7,4,1,4157,7.0,1,19,3,3,1,5.0,2.0,2,2,2.0,0.0,0.0,2,57,1.0,3.0
33,0,1,1,1,2,1,1,0,3,3,5,4,2,13458,1.0,1,12,3,3,0,15.0,1.0,3,15,14.0,7.5,12.0,3,36,1.7333333333333334,2.75
35,0,1,2,18,5,1,2,1,3,3,7,1,1,9069,1.0,0,22,4,4,1,9.0,3.0,2,9,8.0,1.0,8.0,0,88,1.7777777777777777,2.25
35,0,2,1,23,4,3,3,0,3,1,2,1,1,4014,3.0,1,15,3,3,1,4.0,3.0,3,2,2.0,2.0,2.0,2,45,2.0,2.5
31,0,2,1,7,4,1,4,1,3,2,2,4,0,5915,3.0,0,22,4,4,1,10.0,3.0,2,7,7.0,1.0,7.0,0,88,2.0,3.5
37,0,2,1,1,4,1,1,1,2,2,4,3,0,5993,1.0,0,18,3,3,1,7.0,2.0,4,7,5.0,0.0,7.0,0,54,1.7142857142857142,2.75
32,0,2,1,1,3,3,1,1,3,2,4,4,1,6162,1.0,1,22,4,2,1,9.0,3.0,3,9,8.0,7.0,8.0,0,88,1.7777777777777777,2.5
38,0,1,1,29,5,1,4,0,3,2,2,4,2,2406,1.0,0,11,3,4,0,10.0,2.0,3,10,3.0,7.5,9.0,0,33,1.2,3.75
50,0,2,1,7,2,3,2,0,2,5,5,3,0,16581,5.0,1,12,3,4,1,28.5,2.0,2,18,3.0,7.5,8.0,3,36,0.6111111111111112,2.75
59,0,2,2,25,3,1,1,0,3,3,7,1,2,7637,7.0,0,11,3,4,0,28.0,3.0,2,18,14.5,7.0,9.0,3,33,1.3055555555555556,2.0
36,0,2,1,8,3,5,3,0,3,3,0,3,0,10096,1.0,0,13,3,2,3,17.0,2.0,3,17,14.0,7.5,8.0,3,39,1.2941176470588236,2.75
55,0,2,1,8,3,3,4,0,3,4,3,3,0,14756,2.0,1,14,3,3,3,21.0,2.0,3,5,0.0,0.0,2.0,1,42,0.4,3.25
36,0,1,1,11,3,1,2,1,2,2,4,2,2,6499,1.0,0,13,3,3,0,6.0,3.0,3,6,5.0,0.0,3.0,0,39,1.3333333333333333,2.5
45,0,2,1,7,3,1,2,1,3,3,6,1,0,9724,2.0,0,17,3,3,1,25.0,2.0,3,1,0.0,0.0,0.0,2,51,0.0,2.25
35,0,1,1,1,3,3,2,1,3,1,6,1,1,2194,4.0,0,13,3,4,1,5.0,2.0,2,3,2.0,1.0,2.0,1,39,1.3333333333333333,2.25
36,1,2,1,9,3,3,4,1,2,1,6,3,1,3388,0.0,1,17,3,1,1,2.0,0.5,2,1,0.0,0.0,0.0,2,51,0.0,2.5
59,0,1,2,1,1,1,1,0,2,2,7,3,2,5473,7.0,0,11,3,4,0,20.0,2.0,2,4,3.0,1.0,3.0,1,33,1.5,2.5
29,0,2,1,2,3,1,3,1,3,1,6,2,1,2703,0.0,0,23,4,4,1,6.0,3.0,3,5,4.0,0.0,4.0,1,92,1.6,3.0
31,0,2,1,1,4,3,3,1,3,1,6,2,2,2501,1.0,0,17,3,2,0,1.0,4.0,3,1,1.0,1.0,0.0,2,51,1.0,2.5
32,0,2,1,1,3,1,2,1,3,2,6,2,1,6220,1.0,0,17,3,2,2,10.0,3.0,3,10,4.0,0.0,9.0,0,51,1.3,2.25
36,0,2,1,6,3,1,2,0,4,1,2,4,1,3038,3.0,0,12,3,2,0,5.0,3.0,3,1,0.0,0.0,0.0,2,36,0.0,2.75
31,0,2,1,8,4,1,3,0,3,2,4,4,2,4424,1.0,0,23,4,4,0,11.0,2.0,3,11,7.0,1.0,8.0,3,92,1.3636363636363635,3.5
35,0,2,2,1,4,2,3,1,2,2,7,1,2,4312,0.0,0,14,3,2,0,16.0,2.0,3,15,13.0,2.0,8.0,3,42,1.4,2.25
45,0,2,1,6,4,4,4,1,3,3,5,1,1,13245,4.0,1,14,3,2,0,17.0,3.0,4,0,0.0,0.0,0.0,2,42,1.25,2.75
37,0,2,1,7,4,3,1,1,3,3,5,3,2,13664,4.0,0,13,3,1,0,16.0,3.0,4,5,2.0,0.0,2.0,1,39,0.8,2.25
46,0,2,0,5,2,3,2,1,3,2,1,2,0,5021,8.0,1,22,4,4,1,16.0,2.0,3,4,2.0,0.0,2.0,1,88,1.0,2.75
30,0,2,1,1,1,1,4,1,2,2,2,4,1,5126,1.0,1,12,3,3,2,10.0,1.0,2,10,8.0,3.0,0.0,0,36,0.8,3.25
35,0,2,1,1,3,3,2,1,2,1,6,3,2,2859,1.0,0,18,3,1,0,6.0,3.0,3,6,4.0,0.0,4.0,0,54,1.3333333333333333,2.25
55,0,2,2,1,2,1,1,1,3,3,7,4,1,10239,3.0,0,14,3,4,1,24.0,4.0,3,1,0.0,1.0,0.0,2,42,0.0,3.0
38,0,0,1,6,3,3,2,0,1,2,6,4,0,5329,7.0,1,12,3,4,3,17.0,3.0,3,13,11.0,1.0,9.0,3,36,1.5384615384615385,3.25
34,0,2,1,1,2,3,1,1,3,2,4,2,1,4325,1.0,0,15,3,3,0,5.0,2.0,3,5,2.0,1.0,3.0,1,45,1.0,2.25
56,0,2,1,7,3,1,4,1,1,3,4,4,2,7260,4.0,0,11,3,1,0,28.5,3.0,2,6,4.0,0.0,2.0,0,33,1.0,2.75
23,0,2,2,2,1,5,3,1,3,1,8,1,0,2322,3.0,0,13,3,3,1,3.0,3.0,3,0,0.0,0.0,0.0,2,39,1.25,2.5
51,0,2,1,9,4,1,4,1,3,1,2,4,1,2075,3.0,0,23,4,2,2,10.0,4.0,3,4,2.0,0.0,3.0,1,92,1.25,3.25
30,0,2,1,2,3,1,3,1,2,2,0,4,1,4152,1.0,0,19,3,1,3,11.0,3.0,3,11,10.0,7.5,8.0,3,57,1.6363636363636365,2.75
46,1,2,2,9,2,3,3,1,2,3,7,4,2,9619,1.0,0,16,3,4,0,9.0,3.0,3,9,8.0,4.0,7.0,0,48,1.6666666666666667,3.5
40,0,1,1,1,4,1,3,1,2,4,0,2,1,13503,1.0,0,22,4,4,1,22.0,3.0,2,18,3.0,7.5,11.0,3,88,0.7777777777777778,2.75
51,0,2,2,21,4,2,3,1,3,2,7,4,2,5441,0.0,1,22,4,4,0,11.0,2.0,1,10,7.0,1.0,0.0,0,88,0.7,3.0
30,0,2,2,4,2,3,3,0,2,2,7,2,0,5209,1.0,1,12,3,2,3,11.0,4.0,2,11,8.0,2.0,7.0,3,36,1.3636363636363635,2.25
46,0,1,1,1,3,3,3,1,2,3,0,1,1,10673,2.0,1,13,3,3,1,21.0,4.5,2,10,9.0,7.5,5.0,0,39,1.4,2.25
32,0,2,2,6,4,3,2,1,3,2,7,3,2,5010,1.0,0,16,3,1,0,12.0,0.5,3,11,8.0,5.0,7.0,3,48,1.3636363636363635,2.25
54,0,2,1,2,4,5,1,0,3,3,5,3,1,13549,8.5,0,12,3,1,1,16.0,4.5,1,4,3.0,0.0,3.0,1,36,1.5,1.5
24,0,2,2,3,2,4,1,0,3,2,7,3,1,4999,0.0,0,21,4,1,1,4.0,2.0,2,3,2.0,0.0,2.0,1,84,1.3333333333333333,1.75
28,0,0,2,4,3,3,2,1,3,2,7,3,1,4221,1.0,0,15,3,2,0,5.0,3.0,4,5,4.0,0.0,4.0,1,45,1.6,2.75
58,0,2,2,10,4,3,4,1,3,4,7,3,2,13872,0.0,0,13,3,3,0,28.5,1.0,2,18,10.0,1.0,8.0,3,39,1.0,3.0
44,0,0,1,23,3,3,2,1,3,2,2,2,1,2042,4.0,0,12,3,3,1,17.0,3.0,4,3,2.0,1.0,2.0,1,36,1.3333333333333333,2.75
37,1,2,0,6,4,0,3,1,3,1,1,1,0,2073,4.0,1,22,4,4,0,7.0,3.0,3,3,2.0,0.0,2.0,1,88,1.3333333333333333,2.75
32,0,2,1,1,1,1,4,1,3,1,6,1,2,2956,1.0,0,13,3,4,0,1.0,2.0,3,1,0.0,0.0,0.0,2,39,0.0,3.0
20,1,1,1,6,3,1,4,0,2,1,2,4,2,2926,1.0,1,18,3,2,0,1.0,4.5,3,1,0.0,1.0,0.0,2,54,0.0,3.25
34,0,2,1,6,4,4,1,0,3,2,6,3,2,4809,1.0,0,14,3,3,0,16.0,3.0,3,16,13.0,2.0,10.0,3,42,1.4375,2.5
37,0,0,1,2,2,1,3,1,2,2,0,4,0,5163,5.0,0,14,3,4,1,17.0,2.0,4,1,0.0,0.0,0.0,2,42,0.0,3.75
59,0,0,0,2,4,0,3,0,2,5,3,4,1,16581,8.5,0,21,4,4,1,28.5,3.0,3,3,2.0,2.0,2.0,1,84,1.3333333333333333,3.5
50,0,1,1,1,3,1,1,0,3,5,5,2,1,16581,3.0,1,19,3,1,0,28.0,1.0,2,8,3.0,0.0,7.0,0,57,1.25,1.5
25,1,2,2,5,3,2,3,1,2,2,7,3,2,5744,1.0,1,11,3,4,0,6.0,1.0,3,6,4.0,0.0,3.0,0,33,1.1666666666666667,3.25
25,0,2,1,7,1,3,4,1,2,1,6,4,1,2889,1.0,0,11,3,3,2,2.0,2.0,3,2,2.0,2.0,1.0,2,33,1.5,3.5
22,0,2,1,15,3,3,2,0,3,1,2,4,2,2871,1.0,0,15,3,3,0,1.0,4.5,3,0,0.0,0.0,0.0,2,45,1.25,3.0
51,0,1,1,1,4,3,1,0,2,3,0,1,2,7484,3.0,0,20,4,3,0,23.0,1.0,2,13,12.0,7.5,8.0,3,80,1.5384615384615385,1.75
34,1,1,1,7,3,1,1,1,1,2,2,3,2,6074,1.0,1,24,4,4,0,9.0,3.0,3,9,7.0,0.0,6.0,0,96,1.4444444444444444,2.75
54,0,0,0,26,3,0,4,0,4,4,3,4,2,16581,2.0,1,12,3,3,0,23.0,3.0,3,5,3.0,4.0,4.0,1,36,1.4,3.5
24,0,2,1,18,1,1,2,1,3,1,2,3,1,2774,0.0,0,12,3,3,1,6.0,2.0,3,5,3.0,1.0,2.0,1,36,1.0,2.75
34,0,2,1,6,4,1,3,0,2,2,6,2,0,4505,6.0,0,15,3,3,1,12.0,3.0,3,1,0.0,0.0,0.0,2,45,0.0,2.75
37,0,2,2,3,3,1,3,1,3,3,7,4,2,7428,2.0,0,12,3,1,0,12.0,3.0,3,5,3.0,1.0,3.0,1,36,1.2,2.75
34,0,2,1,5,3,3,3,0,2,3,3,1,2,11631,2.0,0,12,3,4,0,14.0,4.5,3,11,10.0,5.0,8.0,3,36,1.6363636363636365,2.75
36,0,1,2,11,2,5,2,0,3,3,7,4,1,9738,0.0,0,14,3,3,1,10.0,4.5,3,9,7.0,2.0,8.0,0,42,1.6666666666666667,3.0
36,0,2,1,3,2,1,1,0,3,1,2,4,0,2835,5.0,0,22,4,1,1,7.0,2.0,3,1,0.0,0.0,0.0,2,88,0.0,2.25
43,0,1,2,26,2,1,3,1,3,4,3,4,1,16581,1.0,1,12,3,4,2,25.0,3.0,4,18,12.0,4.0,12.0,3,36,1.3333333333333333,3.75
30,0,1,1,23,3,1,1,1,1,1,6,3,0,2613,1.0,0,25,4,3,3,10.0,2.0,2,10,7.0,0.0,9.0,0,100,1.6,2.25
33,0,0,2,22,2,2,3,1,3,2,7,2,1,6146,0.0,0,13,3,1,1,8.0,2.0,4,7,7.0,0.0,7.0,0,39,2.0,2.5
56,1,2,1,14,4,1,2,0,3,1,6,2,1,4963,8.5,1,18,3,1,3,7.0,2.0,3,5,4.0,4.0,3.0,1,54,1.4,2.0
51,0,2,1,6,3,1,1,1,3,5,5,3,2,16581,7.0,0,13,3,3,0,23.0,4.5,3,18,14.5,7.5,14.5,3,39,1.6111111111111112,2.5
31,1,2,2,6,4,1,2,1,1,2,7,3,1,6172,4.0,1,18,3,2,0,12.0,3.0,2,7,7.0,7.0,7.0,0,54,2.0,2.25
26,0,2,1,6,3,4,3,0,2,1,6,2,1,2368,1.0,0,19,3,3,0,5.0,3.0,2,5,4.0,4.0,3.0,1,57,1.4,2.5
58,1,2,1,23,4,3,4,0,3,3,0,4,1,10312,1.0,0,12,3,4,1,28.5,3.0,2,18,10.0,7.5,6.0,3,36,0.8888888888888888,3.5
19,1,2,2,22,1,2,4,1,3,1,8,3,2,1675,1.0,1,19,3,4,0,0.0,2.0,2,0,0.0,0.0,0.0,2,57,1.25,3.25
22,0,2,1,2,1,5,3,1,3,1,2,4,1,2523,0.0,0,14,3,3,1,3.0,2.0,3,2,1.0,2.0,1.0,2,42,1.0,3.25
49,0,2,1,20,4,3,3,0,3,2,4,1,1,6567,1.0,0,14,3,3,0,16.0,2.0,2,15,11.0,5.0,11.0,3,42,1.4666666666666666,2.25
43,0,1,1,28,3,3,2,0,4,1,6,3,2,4739,4.0,0,12,3,4,0,18.0,2.0,3,3,2.0,1.0,2.0,1,36,1.3333333333333333,3.0
50,0,1,2,12,3,2,3,0,3,3,7,4,2,9208,4.0,0,11,3,4,0,16.0,3.0,3,2,2.0,2.0,1.0,2,33,1.5,3.5
31,1,2,2,20,3,1,2,0,1,2,7,3,1,4559,3.0,1,11,3,3,1,4.0,2.0,3,2,2.0,2.0,2.0,2,33,2.0,2.75
41,0,2,2,9,1,1,3,1,3,3,7,3,0,8189,3.0,1,13,3,3,1,12.0,2.0,3,9,7.0,0.0,7.0,0,39,1.5555555555555556,3.0
26,0,2,0,25,1,1,3,0,3,1,1,3,1,2942,1.0,0,23,4,4,1,8.0,3.0,3,8,7.0,5.0,7.0,0,92,1.75,3.25
36,0,2,1,6,2,3,2,1,3,2,4,2,0,4941,6.0,0,20,4,4,2,7.0,0.5,3,3,2.0,0.0,1.0,1,80,1.0,2.75
51,1,1,1,8,4,1,1,1,1,3,4,4,2,10650,2.0,0,15,3,4,0,18.0,2.0,3,4,2.0,0.0,3.0,1,45,1.25,3.0
39,0,2,2,4,4,1,4,0,2,2,7,3,1,5902,4.0,0,14,3,3,1,17.0,1.0,4,15,11.0,5.0,9.0,3,42,1.3333333333333333,3.5
25,0,2,2,28,3,1,1,1,2,2,7,3,1,8639,2.0,0,18,3,4,0,6.0,3.0,3,2,2.0,2.0,2.0,2,54,2.0,2.75
30,0,2,0,9,3,0,3,1,3,2,1,4,1,6347,0.0,1,19,3,4,0,12.0,2.0,1,11,9.0,4.0,7.0,3,57,1.4545454545454546,3.0
32,1,2,1,9,3,3,1,0,3,1,2,1,2,4200,7.0,0,22,4,1,0,10.0,2.0,4,5,4.0,0.0,4.0,1,88,1.6,1.75
45,0,2,1,29,3,3,3,1,3,1,6,4,2,3452,5.0,0,13,3,2,0,9.0,2.0,2,6,5.0,0.0,3.0,0,39,1.3333333333333333,2.75
38,0,2,1,3,5,5,4,0,3,2,6,3,2,4317,3.0,1,20,4,2,0,19.0,2.0,3,3,2.0,2.0,2.0,1,80,1.3333333333333333,3.0
30,0,2,1,18,3,1,1,0,3,1,6,3,2,2632,1.0,0,14,3,3,0,5.0,4.0,2,5,4.0,0.0,4.0,1,42,1.6,2.25
32,0,1,2,9,2,3,4,1,1,2,7,4,0,4668,0.0,0,17,3,4,3,9.0,2.0,4,8,7.0,0.0,7.0,0,51,1.75,4.0
30,0,2,1,5,3,5,4,0,3,1,6,1,0,3204,5.0,0,14,3,4,1,8.0,3.0,3,3,2.0,2.0,2.0,1,42,1.3333333333333333,3.0
30,0,2,1,2,1,3,2,1,2,1,2,4,2,2720,0.0,0,13,3,4,0,6.0,3.0,3,5,3.0,1.0,2.0,1,39,1.0,3.25
41,0,1,1,10,3,1,4,1,2,4,3,1,0,16581,4.0,0,13,3,2,1,21.0,2.0,2,7,6.0,7.0,7.0,0,39,1.8571428571428572,2.25
41,0,2,1,9,4,1,3,1,3,1,2,1,1,2238,2.0,0,21,4,4,1,7.0,2.0,3,5,0.0,1.0,4.0,1,84,0.8,2.75
19,0,2,1,3,1,3,2,0,3,1,2,2,2,1483,1.0,0,14,3,4,0,1.0,3.0,3,1,0.0,0.0,0.0,2,42,0.0,2.75
40,0,1,1,26,3,3,2,0,3,2,6,2,0,5605,1.0,0,11,3,1,1,20.0,2.0,3,18,7.0,2.0,13.0,3,33,1.1111111111111112,2.0
35,0,2,2,1,5,2,3,1,3,3,7,2,1,7295,1.0,0,13,3,1,2,10.0,3.0,3,10,8.0,0.0,6.0,0,39,1.4,2.25
53,0,2,2,6,2,2,2,1,3,2,8,3,1,2306,2.0,1,20,4,4,1,13.0,3.0,1,7,7.0,4.0,5.0,0,80,1.7142857142857142,2.5
45,0,2,1,9,3,1,2,1,3,2,2,2,0,2348,8.0,0,18,3,3,1,20.0,2.0,1,17,9.0,0.0,14.5,3,54,1.3823529411764706,2.0
32,0,1,2,8,3,2,2,0,3,3,7,4,2,8998,1.0,0,14,3,4,0,9.0,2.0,3,9,8.0,3.0,7.0,0,42,1.6666666666666667,3.25
29,0,0,1,1,1,5,4,1,3,2,4,3,1,4319,1.0,0,13,3,1,1,10.0,1.0,3,10,7.0,0.0,9.0,0,39,1.6,2.75
51,0,2,1,7,4,3,2,1,2,2,4,3,1,6132,2.0,0,17,3,3,0,10.0,2.0,3,1,0.0,0.0,0.0,2,51,0.0,2.75
58,0,2,1,9,3,3,2,0,2,1,6,2,1,3346,4.0,1,20,4,2,1,9.0,3.0,2,1,0.0,0.0,0.0,2,80,0.0,2.0
40,0,2,2,4,4,2,3,1,2,3,7,4,1,10855,7.0,0,11,3,1,1,15.0,2.0,2,12,11.0,2.0,11.0,3,33,1.8333333333333333,2.5
34,0,1,2,2,4,2,3,0,3,1,8,3,1,2231,6.0,0,18,3,4,1,6.0,3.0,3,4,3.0,1.0,2.0,1,54,1.25,3.25
22,0,2,1,19,1,3,3,1,3,1,6,4,1,2323,1.0,0,24,4,1,2,2.0,4.5,3,2,2.0,2.0,2.0,2,96,2.0,2.75
27,0,0,1,9,3,3,4,1,3,1,6,2,0,2024,6.0,0,18,3,4,1,6.0,1.0,1,2,2.0,2.0,2.0,2,54,2.0,2.75
28,0,2,1,21,3,3,3,1,3,1,6,4,1,2713,1.0,0,11,3,3,1,5.0,2.0,1,5,2.0,0.0,2.0,1,33,0.8,2.75
